Year,GDP Deflator,Sector,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity
1970,0.143281676,Commercial,0.48,1.14,0.42,0.73,1.42,1.17,7.8
1970,0.143281676,Industrial,0.53,0.7,0.49,0.73,1.5,0.68,3.51
1970,0.143281676,Residential,1.43,1.43,,1.56,2.65,1.37,8.83
1970,0.143281676,Transportation,,1.44,0.37,,1.42,0,4.82
1971,0.149432424,Commercial,0.56,1.21,0.53,0.79,1.39,1.24,8.92
1971,0.149432424,Industrial,0.64,0.75,0.65,0.79,1.47,0.76,3.89
1971,0.149432424,Residential,1.83,1.51,,1.66,2.65,1.47,9.49
1971,0.149432424,Transportation,,1.45,0.47,,1.39,0,5.5
1972,0.154322269,Commercial,0.52,1.21,0.61,0.78,1.36,1.28,9.52
1972,0.154322269,Industrial,0.66,0.74,0.62,0.78,1.44,0.84,4.16
1972,0.154322269,Residential,1.43,1.52,,1.65,2.66,1.58,10.05
1972,0.154322269,Transportation,,1.41,0.54,,1.36,0,6.3
1973,0.163855929,Commercial,0.52,1.42,0.78,0.95,1.42,1.33,10.41
1973,0.163855929,Industrial,0.75,0.91,0.77,0.95,1.52,0.88,4.43
1973,0.163855929,Residential,1.49,1.73,,2.02,3.73,1.69,10.98
1973,0.163855929,Transportation,,1.75,0.7,,1.42,0,7.36
1974,0.181969882,Commercial,1.09,2.34,1.98,2.28,2.41,1.55,15.22
1974,0.181969882,Industrial,1.47,2.18,1.85,2.28,2.59,1.09,6.74
1974,0.181969882,Residential,2.04,2.66,,3.04,4.34,1.96,14.98
1974,0.181969882,Transportation,,2.7,1.76,,2.41,0,12.4
1975,0.198607655,Commercial,1.36,2.48,1.9,2.51,2.99,1.97,16.57
1975,0.198607655,Industrial,1.82,2.36,2.01,2.51,3.25,1.47,7.97
1975,0.198607655,Residential,2.78,2.81,,3.28,4.48,2.5,16.44
1975,0.198607655,Transportation,,2.84,1.67,,2.99,0,13.66
1976,0.210017293,Commercial,1.35,2.64,1.85,2.54,3.05,2.32,17.38
1976,0.210017293,Industrial,1.86,2.43,2,2.54,3.32,1.55,7.99
1976,0.210017293,Residential,2.8,2.97,,3.43,4.91,2.83,16.97
1976,0.210017293,Transportation,,3.03,1.7,,3.05,0,13.84
1977,0.223671954,Commercial,1.36,3.06,2.18,2.9,3.69,2.82,18.68
1977,0.223671954,Industrial,1.83,2.79,2.26,2.9,4.09,1.9,8.97
1977,0.223671954,Residential,3.04,3.37,,3.86,5.33,3.25,18.4
1977,0.223671954,Transportation,,3.47,1.94,,3.69,0,11.43
1978,0.240740279,Commercial,1.46,3.22,1.98,3.07,3.76,3.02,18.24
1978,0.240740279,Industrial,1.95,2.94,2.28,3.07,4.19,2.24,9.25
1978,0.240740279,Residential,3,3.61,,4.09,5.77,3.63,18.97
1978,0.240740279,Transportation,,3.67,1.74,,3.76,0,13.42
1979,0.267834325,Commercial,1.56,4.65,3,4.11,4.13,3.45,19.67
1979,0.267834325,Industrial,1.99,3.92,2.81,4.11,4.49,2.7,10.42
1979,0.267834325,Residential,3.09,5.13,,5.56,7.26,4.07,20.93
1979,0.267834325,Transportation,,5.24,2.66,,4.13,0,15.25
1980,0.304123738,Commercial,1.67,6.48,4.18,5.68,5.54,4.17,23.21
1980,0.304123738,Industrial,2.08,5.36,3.78,5.68,6.03,3.43,12.11
1980,0.304123738,Residential,3.26,7.08,,8.49,9.12,4.85,23.08
1980,0.304123738,Transportation,,7.45,3.53,,5.54,0,15.02
1981,0.335554061,Commercial,1.89,8.2,5.05,7,5.74,4.65,29.35
1981,0.335554061,Industrial,2.26,6.58,4.83,7,6.34,3.89,15.55
1981,0.335554061,Residential,3.67,8.88,,10.85,9.85,5.41,28.98
1981,0.335554061,Transportation,,9.45,4.4,,5.74,0,17.29
1982,0.356128313,Commercial,2.01,7.95,4.6,7.5,6.85,5.37,31.03
1982,0.356128313,Industrial,2.34,6.88,4.65,7.5,7.65,4.87,16.43
1982,0.356128313,Residential,3.86,8.69,,10.91,10.23,6.38,30.76
1982,0.356128313,Transportation,,8.96,4.18,,6.85,0,21.6
1983,0.367568705,Commercial,1.96,7.11,4.49,7.57,7.11,6.31,33
1983,0.367568705,Industrial,2.02,6.97,4.4,7.15,7.99,5.54,15.66
1983,0.367568705,Residential,3.68,8.41,,7.57,10.55,7.67,32.08
1983,0.367568705,Transportation,,8.98,4.23,,7.11,0,22.59
1984,0.383376127,Commercial,1.94,7.23,5.03,9.08,7.59,6.1,31.04
1984,0.383376127,Industrial,1.97,6.58,5.03,7.18,8.53,5.22,16.41
1984,0.383376127,Residential,3.74,8.66,,9.08,10.03,7.45,31.17
1984,0.383376127,Transportation,,8.82,4.55,,7.59,0,20.47
1985,0.39696928,Commercial,1.92,6.79,4.64,8.92,11.66,5.95,30.86
1985,0.39696928,Industrial,1.91,6.14,4.64,6.91,13.09,5.13,15.34
1985,0.39696928,Residential,3.61,8.35,,8.92,11.12,7.54,31.84
1985,0.39696928,Transportation,,8.48,4.08,,12.52,0,19.65
1986,0.404503947,Commercial,1.74,4.88,2.92,7.9,11.45,5.61,29.62
1986,0.404503947,Industrial,1.75,4.12,2.92,4.88,12.64,4.78,14.43
1986,0.404503947,Residential,3.39,6.83,,7.9,9.96,7.26,30.86
1986,0.404503947,Transportation,,6.59,2.27,,12.32,0,19.51
1987,0.41932725,Commercial,1.76,4.9,3.22,6.8,11.19,5.02,27.96
1987,0.41932725,Industrial,1.68,4.64,3.22,4.65,12.24,4.16,14.74
1987,0.41932725,Residential,3.27,6.39,,6.8,9.64,6.68,30.81
1987,0.41932725,Transportation,,6.74,2.84,,12.07,0,22.59
1988,0.436426329,Commercial,1.71,4.75,2.67,6.31,11.09,5.24,27.13
1988,0.436426329,Industrial,1.66,4.27,2.67,4.44,12.16,4.56,14.47
1988,0.436426329,Residential,3.29,6.47,,6.31,9.53,6.32,30.67
1988,0.436426329,Transportation,,6.78,2.18,,11.97,0,21.39
1989,0.457492641,Commercial,1.75,5.28,3.12,5.41,9.7,5.47,27.99
1989,0.457492641,Industrial,1.71,4.74,3.12,5.28,10.52,4.7,15.52
1989,0.457492641,Residential,3.36,7.18,,5.41,11.54,7.03,32.03
1989,0.457492641,Transportation,,7.36,2.63,,10.64,0,22.65
1990,0.482187895,Commercial,1.76,6.54,3.75,6.83,10.14,5.43,29.48
1990,0.482187895,Industrial,1.74,6.78,3.75,6.46,11.29,4.72,16.95
1990,0.482187895,Residential,3.59,8.44,,6.83,13.64,7.19,33.54
1990,0.482187895,Transportation,,8.99,3.13,,11.16,4.56,21.66
1991,0.502608378,Commercial,1.74,6.01,2.83,6.23,10.85,5.32,30.36
1991,0.502608378,Industrial,1.73,5.6,2.83,5.8,12.13,4.6,18.07
1991,0.502608378,Residential,3.44,8.35,,6.23,14.59,7.15,35.09
1991,0.502608378,Transportation,,9.06,2.38,,12.84,4.56,21.38
